Image,Pattern,Count,Population Size,Mutation Rate
foto1_24x24.png,Pattern 1,21,50,0.3
foto1_24x24.png,Pattern 2,2,50,0.3
foto1_24x24.png,Pattern 3,14,50,0.3
foto1_24x24.png,Pattern 4,7,50,0.3
foto1_24x24.png,Pattern 5,4,50,0.3
foto1_24x24.png,Pattern 6,4,50,0.3
foto1_24x24.png,Pattern 7,12,50,0.3
foto2_24x24.png,Pattern 1,18,50,0.3
foto2_24x24.png,Pattern 2,6,50,0.3
foto2_24x24.png,Pattern 3,9,50,0.3
foto2_24x24.png,Pattern 4,3,50,0.3
foto2_24x24.png,Pattern 5,7,50,0.3
foto2_24x24.png,Pattern 6,13,50,0.3
foto2_24x24.png,Pattern 7,8,50,0.3
foto3_24x24.png,Pattern 1,19,50,0.3
foto3_24x24.png,Pattern 2,4,50,0.3
foto3_24x24.png,Pattern 3,13,50,0.3
foto3_24x24.png,Pattern 4,10,50,0.3
foto3_24x24.png,Pattern 5,7,50,0.3
foto3_24x24.png,Pattern 6,7,50,0.3
foto3_24x24.png,Pattern 7,4,50,0.3
foto4_24x24.png,Pattern 1,23,50,0.3
foto4_24x24.png,Pattern 2,7,50,0.3
foto4_24x24.png,Pattern 3,6,50,0.3
foto4_24x24.png,Pattern 4,5,50,0.3
foto4_24x24.png,Pattern 5,7,50,0.3
foto4_24x24.png,Pattern 6,9,50,0.3
foto4_24x24.png,Pattern 7,7,50,0.3
foto5_24x24.png,Pattern 1,21,50,0.3
foto5_24x24.png,Pattern 2,5,50,0.3
foto5_24x24.png,Pattern 3,10,50,0.3
foto5_24x24.png,Pattern 4,6,50,0.3
foto5_24x24.png,Pattern 5,6,50,0.3
foto5_24x24.png,Pattern 6,11,50,0.3
foto5_24x24.png,Pattern 7,5,50,0.3
